Fecha;Close
19-06-2006;440
20-06-2006;435
21-06-2006;435
22-06-2006;435
23-06-2006;435
27-06-2006;435
28-06-2006;435
29-06-2006;434
30-06-2006;442
03-07-2006;442
04-07-2006;442
05-07-2006;435
07-07-2006;431,5
10-07-2006;430
12-07-2006;428
14-07-2006;425
18-07-2006;425
20-07-2006;421
21-07-2006;421
24-07-2006;421
25-07-2006;421
26-07-2006;425
27-07-2006;425
28-07-2006;440
31-07-2006;440
01-08-2006;440
07-08-2006;440
08-08-2006;435
09-08-2006;433
10-08-2006;440
16-08-2006;440
17-08-2006;445
18-08-2006;445
21-08-2006;445
22-08-2006;445
23-08-2006;445
24-08-2006;455
25-08-2006;455,1
28-08-2006;460
30-08-2006;465
31-08-2006;465,01
05-09-2006;465
06-09-2006;465
07-09-2006;465
08-09-2006;460,09
12-09-2006;465
13-09-2006;470
14-09-2006;470
15-09-2006;468
20-09-2006;470
21-09-2006;460
22-09-2006;460
26-09-2006;460
28-09-2006;465
29-09-2006;465
03-10-2006;465
04-10-2006;465
05-10-2006;470
06-10-2006;470
10-10-2006;480
11-10-2006;485
12-10-2006;490
13-10-2006;490
17-10-2006;490
18-10-2006;495
19-10-2006;495,01
20-10-2006;500
23-10-2006;500
24-10-2006;515
25-10-2006;515
26-10-2006;515
27-10-2006;515,01
30-10-2006;512,5
31-10-2006;512
02-11-2006;500
03-11-2006;500
06-11-2006;500
07-11-2006;510
13-11-2006;510
14-11-2006;510
15-11-2006;510
16-11-2006;518
17-11-2006;515
20-11-2006;510
21-11-2006;510
22-11-2006;510
23-11-2006;510
24-11-2006;511
27-11-2006;512,51
29-11-2006;513
30-11-2006;521,51
01-12-2006;535
04-12-2006;540
05-12-2006;550,5
06-12-2006;551
07-12-2006;555
11-12-2006;555
12-12-2006;560,01
13-12-2006;560,01
14-12-2006;563
15-12-2006;570
19-12-2006;570
20-12-2006;583
21-12-2006;585
26-12-2006;581
27-12-2006;583,1
28-12-2006;590
02-01-2007;590
03-01-2007;600
05-01-2007;615
08-01-2007;615
09-01-2007;610
10-01-2007;604
11-01-2007;604
12-01-2007;609
15-01-2007;608
16-01-2007;610
18-01-2007;595
19-01-2007;600
22-01-2007;605
23-01-2007;605
