"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"21","Un tremendo anuncio de la CuentaPblica del Pdtepara la RMdeTodos es la transformacin del Zoolgico",FALSE,0,NA,2018-06-04 15:40:32,FALSE,NA,"1003662798482804736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pato_carreno_",16,TRUE,FALSE,NA,NA
"22","Un tremendo anuncio de la CuentaPblica del Pdtepara la RMdeTodos es la transformacin del Zoolgico",FALSE,0,NA,2018-06-04 15:38:16,FALSE,NA,"1003662224924250112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","giova_acevedo",16,TRUE,FALSE,NA,NA
"23","Se vienen grandes cambios en el Zoolgico delEl Presidenteanunci en su CuentaPblica q",FALSE,0,NA,2018-06-04 15:38:13,FALSE,NA,"1003662214493032448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MBienesRM",3,TRUE,FALSE,NA,NA
"24","Un tremendo anuncio de la CuentaPblica del Pdtepara la RMdeTodos es la transformacin del Zoolgico",FALSE,0,NA,2018-06-04 15:37:51,FALSE,NA,"1003662122948157440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MBienesRM",16,TRUE,FALSE,NA,NA
"25","Moral pureza y descencia los Kastos NOhacen presencia en la cuentapblica PieraNo jaja  by",FALSE,0,NA,2018-06-04 15:37:47,FALSE,NA,"1003662106158346241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wladimir_soto",4,TRUE,FALSE,NA,NA
"26","Los invitamos a revisar y compartir la columna de opinin dePresidente MGZen relacin a la cuentapbli",FALSE,0,NA,2018-06-04 15:37:40,FALSE,NA,"1003662073493147648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","panxoaguila",5,TRUE,FALSE,NA,NA
"27"," Caa tan de cajn que haba que hacerlo

Uno de los mayores anuncios de la CuentaPblica fueron las nuevas l",FALSE,2,NA,2018-06-04 15:37:13,TRUE,NA,"1003661962520219648",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tele13_Radio",1,FALSE,FALSE,NA,NA
"28","Se vienen grandes cambios en el Zoolgico delEl Presidenteanunci en su CuentaPblica q",FALSE,0,NA,2018-06-04 15:37:05,FALSE,NA,"1003661926843363330",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mconga",3,TRUE,FALSE,NA,NA
"29","UnDaPerfectoJunto a nuestro columnistaconversamos sobre los anuncios que se hicieron en CuentaPblica con re",FALSE,0,NA,2018-06-04 15:36:40,FALSE,NA,"1003661824280158209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pallards",1,TRUE,FALSE,NA,NA
"30","AHORAEl Presidenteen entrevista enpor CuentaPblica Sguelo EN VIVO aqu",FALSE,0,NA,2018-06-04 15:35:49,FALSE,NA,"1003661608147734531",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MineriaTarapaca",58,TRUE,FALSE,NA,NA
"31","Se vienen grandes cambios en el Zoolgico delEl Presidenteanunci en su",FALSE,6,NA,2018-06-04 15:35:38,TRUE,NA,"1003661564015267840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IntendenciaRM",3,FALSE,FALSE,NA,NA
"32","Y si Jos quiere un curso rpido de lo que es trolleo acse lo expli",FALSE,0,NA,2018-06-04 15:35:16,FALSE,NA,"1003661470385754114",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andreafogliatti",1,TRUE,FALSE,NA,NA
"33","Ley REP
Nada en la CuentaPblica
Nada desde el 

Se quedaron en ley de bolsas plsticas importante pero",FALSE,0,NA,2018-06-04 15:33:39,TRUE,NA,"1003661063718604800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ItaloBonet",0,FALSE,FALSE,NA,NA
